GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ing-sw-2019-29,adrenaline,Room,54,158,13,11,6,39,9,19,0,16
Ing-sw-2019-29,adrenaline,PowerUpCard,12,65,2,6,4,17,3,9,2,6
Ing-sw-2019-29,adrenaline,Player.PlayerPos,0,64,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,Figure.PlayerColor,0,64,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,FreneticAction.PlayerOrder,0,24,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,GameModel.FrenzyMode,0,24,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,AmmoTileDeck,0,199,0,6,0,35,0,10,0,7
Ing-sw-2019-29,adrenaline,Action.ActionType,0,14,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,WeaponCard,8,327,1,39,4,52,5,33,4,14
Ing-sw-2019-29,adrenaline,EffectAndNumber,4,23,0,0,1,10,1,5,1,5
Ing-sw-2019-29,adrenaline,FreneticAction,7,289,2,26,2,54,2,20,0,8
Ing-sw-2019-29,adrenaline,AmmoCube,0,39,0,0,0,17,0,8,0,8
Ing-sw-2019-29,adrenaline,Figure,0,13,0,0,0,6,0,3,0,3
Ing-sw-2019-29,adrenaline,CoordinatesWithRoom,538,1128,131,151,49,142,86,73,2,16
Ing-sw-2019-29,adrenaline,RoomDeath,0,11,0,0,0,4,0,2,0,2
Ing-sw-2019-29,adrenaline,Action,896,1732,203,213,124,362,134,132,1,44
Ing-sw-2019-29,adrenaline,AmmoTile,0,72,0,0,0,12,0,5,0,5
Ing-sw-2019-29,adrenaline,AmmoCube.Effect,0,54,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,RoomDom,17,0,0,0,5,0,2,0,2,0
Ing-sw-2019-29,adrenaline,GameModel,19,285,5,37,6,60,5,26,1,8
Ing-sw-2019-29,adrenaline,Action.Direction,4,0,0,0,1,0,1,0,1,0
Ing-sw-2019-29,adrenaline,Card,0,3,0,0,0,1,0,1,0,1
Ing-sw-2019-29,adrenaline,SpawnpointDom,9,3,0,0,4,2,1,1,1,1
Ing-sw-2019-29,adrenaline,WeaponDeck,0,167,0,0,0,28,0,4,0,4
Ing-sw-2019-29,adrenaline,GameModel.Bot,0,24,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,DominationBoard,18,8,0,0,4,3,2,1,2,1
Ing-sw-2019-29,adrenaline,DeathmatchBoard,0,29,0,0,0,8,0,4,0,4
Ing-sw-2019-29,adrenaline,Spawnpoint,3,41,0,0,1,15,1,7,1,7
Ing-sw-2019-29,adrenaline,Action.PayOption,0,34,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,Coordinates,16,45,4,0,1,18,3,8,1,8
Ing-sw-2019-29,adrenaline,PowerUpDeck,0,167,0,4,0,32,0,9,0,7
Ing-sw-2019-29,adrenaline,GameModel.Mode,0,24,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,AmmoCube.CubeColor,0,54,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline,Player,77,1296,35,73,17,197,37,90,5,68
Ing-sw-2019-29,adrenaline.network.client,Client,44,0,0,0,42,0,42,0,42,0
Ing-sw-2019-29,adrenaline.network.client,ClientThread,415,0,40,0,146,0,45,0,6,0
Ing-sw-2019-29,adrenaline.network.client,ClientCLI,1814,0,217,0,415,0,165,0,55,0
Ing-sw-2019-29,adrenaline.powerups,TargetingScope,0,28,1,1,0,11,1,4,0,4
Ing-sw-2019-29,adrenaline.powerups,Teleporter,0,58,0,6,0,12,0,6,0,3
Ing-sw-2019-29,adrenaline.powerups,Newton,0,13,0,0,0,5,0,2,0,2
Ing-sw-2019-29,adrenaline.powerups,TagbackGrenade,0,18,0,0,0,7,0,3,0,3
Ing-sw-2019-29,adrenaline.gameboard,MapTwo,639,0,14,0,37,0,8,0,1,0
Ing-sw-2019-29,adrenaline.gameboard,MapThree,56,555,5,9,5,32,3,5,0,1
Ing-sw-2019-29,adrenaline.gameboard,Map,3,32,0,6,1,11,1,9,1,6
Ing-sw-2019-29,adrenaline.gameboard,MapFour,56,619,5,9,5,32,3,5,0,1
Ing-sw-2019-29,adrenaline.gameboard,Door,0,31,0,0,0,8,0,4,0,4
Ing-sw-2019-29,adrenaline.gameboard,GameBoard,93,375,30,48,12,49,27,25,4,9
Ing-sw-2019-29,adrenaline.gameboard,Wall,0,31,0,0,0,8,0,4,0,4
Ing-sw-2019-29,adrenaline.gameboard,Door.Direction,0,44,0,0,0,2,0,1,0,1
Ing-sw-2019-29,adrenaline.gameboard,MapOne,56,519,5,9,5,32,3,5,0,1
Ing-sw-2019-29,adrenaline.weapons,Shockwave,0,69,2,4,0,17,2,7,0,6
Ing-sw-2019-29,adrenaline.weapons,PlasmaGun,18,88,3,5,4,21,3,8,0,7
Ing-sw-2019-29,adrenaline.weapons,Flamethrower,0,144,3,10,0,31,3,11,0,7
Ing-sw-2019-29,adrenaline.weapons,Cyberblade,0,85,2,2,0,19,2,7,0,7
Ing-sw-2019-29,adrenaline.weapons,LockRifle,0,93,3,4,0,19,3,6,0,5
